 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
42,Ananthu,Mutono,Kamga et al,Close to elimination,2018,Audit of the community-directed treatment with ivermectin (CDTI) for onchocerciasis and factors associated with adherence in three regions of Cameroon,Parasites Vectors,11:01,NA,Cameroon ,APOC,National Onchocerciasis Control Program (NOCP),Bafia health district,2015,"Every individual, regardless of age",1032,forest-savannah,-,-,-,-,-,-,Yes,No,,-,2000,-,15,-,Yearly,-,-,80%,2012,56%,10%,,,-,-,-,-,,,-,-,,-,,-,-,,,"As per the questionnaires, coverage of 2014 MDA was 69%; reasons for non-adherence were associated with the community not involved in selection of community drug distributors and choice of period of MDA",,Potential for exclusion,,,,,3
42,Ananthu,Mutono,Kamga et al,Close to elimination,2018,Audit of the community-directed treatment with ivermectin (CDTI) for onchocerciasis and factors associated with adherence in three regions of Cameroon,Parasites Vectors,11:01,NA,Cameroon ,APOC,National Onchocerciasis Control Program (NOCP),Foumbot-Massangam health district,2015,"Every individual, regardless of age",1260,forest-savannah,-,-,-,-,-,-,Yes,No,,-,2000,-,15,-,Yearly,-,-,>80%,2011,64%,6.80%,,,-,-,-,-,,,-,-,,-,,-,-,,,"As per the questionnaires, coverage of 2014 MDA was 74%; reasons for non-adherence were associated with the community not involved in selection of community drug distributors and choice of period of MDA",,Potential for exclusion,,,,,4
42,Ananthu,Mutono,Kamga et al,Close to elimination,2018,Audit of the community-directed treatment with ivermectin (CDTI) for onchocerciasis and factors associated with adherence in three regions of Cameroon,Parasites Vectors,11:01,NA,Cameroon ,APOC,National Onchocerciasis Control Program (NOCP),Yabassi health district,2015,"Every individual, regardless of age",650,dense humid forest,-,-,-,-,-,-,Yes,No,,-,1999,-,15,-,Yearly,-,-,79%,2012,49%,15%,,,-,-,-,-,,,-,-,,-,,-,-,,,"As per the questionnaires, coverage of 2014 MDA was 79%; reasons for non-adherence were associated with the community not involved in selection of community drug distributors and choice of period of MDA",,Potential for exclusion,,,,,3
43,Ananthu,Mutono,Shintouo et al,Ongoing transmission,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Bafang health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,2.60%,No. of mf positive individuals/population tested,9/203,-,-,,-,,Yes,Yes- both heads and bodies,0% (UCL-0.096),2000,Infected blackfly pool- 20%,,Results are not clear,,,,,
43,Ananthu,Mutono,Shintouo et al,Close to elimination,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Bandjoun health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,0%,No. of mf positive individuals/population tested,0/198,-,-,,-,,Yes,Yes- both heads and bodies,0% (UCL-0.096),4000,Infected blackfly pool- 0.0%,,Results are not clear,,,,,
43,Ananthu,Mutono,Shintouo et al,Close to elimination,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Bangangte health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,0%,No. of mf positive individuals/population tested,0/141,-,-,,-,,Yes,Yes- both heads and bodies,0% (UCL-0.096),2000,Infected blackfly pool- 0.0%,,Results are not clear,,,,,
43,Ananthu,Mutono,Shintouo et al,Close to elimination,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Foumbot health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,0%,No. of mf positive individuals/population tested,0/107,-,-,,-,,Yes,Yes- both heads and bodies,0% (UCL-0.096),2000,Infected blackfly pool- 0.0%,,Results are not clear,,,,,
43,Ananthu,Mutono,Shintouo et al,Ongoing transmission,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Kekem health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,2.30%,No. of mf positive individuals/population tested,6/231,-,-,,-,,Yes,Yes- both heads and bodies,0% (UCL-0.096),2000,Infected blackfly pool- 10%,,Results are not clear,,,,,
43,Ananthu,Mutono,Shintouo et al,Ongoing transmission,2020,Entomological assessment of onchocerca species transmission by black flies in selected communities in the west region of cameroon,Pathogens,09:09,,Cameroon ,APOC,,Massangam health district,2019,black flies,-,forest,Simulium squamosum,-,38.60%,-,-,-,Yes,No,,No,1996,-,23,-,annual,-,-,-,,-,-,,,,-,-,41.60%,No. of mf positive individuals/population tested,53/123,-,-,,-,,Yes,Yes- both heads and bodies,0.6% (UCL (1.347),2000,Infected blackfly pool- 80%,,Results are not clear,,,,,
44,Ananthu,Mutono,Nyagang et al,Ongoing transmission,2020,"Prevalence of onchocerciasis, attitudes and practices and the treatment coverage after 15 years of mass drug administration with ivermectin in the Tombel health district, Cameroon",Pan Afr Med J,35:NA,,Cameroon ,APOC,,Tombel health district (Southwest region),2017-2018,individuals 5 years and above who have stayed in the location for at least 5 years,400,rain forest,-,>5%,-,-,>40%,-,Yes,No,,-,1999,-,15,-,Yearly,-,74.10%,81%,2003 expect 2004 and 2013,-,-,,,-,6.00%,,1.50%,Proportion of people with microfilaria,-,-,two skin snips in sholder and waist using a sterile surgical blade,microscope,-,,-,-,,,,,Not clearly stated if there is ongoing transmission,,,,,13
45,Ananthu,Anita,Dolo et al,Close to elimination,2021,"Serological Evaluation of Onchocerciasis and Lymphatic Filariasis Elimination in the Bakoye and Fal̩m̩ Foci, Mali",Clin Infect Dis,72:09:00,1585-1593,Mali,OCP,OCP,River Bakoye,2017-2018,"Children aged 3-10; 
In 3 historically hyperendemic villages, those aged 3-78 for all-age serosurveys",2186 children;1867 individuals aged 3-78 for the all-age serosurveys,,,50.90%,13.4 mf/s,,,,Yes,Yes (OCP),,,1987,1977,29,,Yearly,,Increased from a minimum value of 59% initially to a maximum of 83% by 2000-06 during the treatment duration. ,,,,,-,Elimination of transmission,By measuring the seropeositivity of  children <10 years using Ov16 ELISA and infective L3 larvale in blackflies using PCR based pool screening,,,0.63%,,,"Exact values not given; 
As per the figure, these are almost 0% by the end of the treatment duration. ",,,0.27% (95% CI = 0.13-0.60%) ,,Yes,,,,"Interruption of transmission reported in 2009 but LF MDA went on till 2016, IgG4 Rapid diagnostic test used",Lymphatic Filariasis,"This study did testing 10 years after the first evidence of onchocerciasis elimination in this area, study reports elimination of transmission in this region",No-co-endemicity,,,,
45,Ananthu,Anita,Dolo et al,Close to elimination,2021,"Serological Evaluation of Onchocerciasis and Lymphatic Filariasis Elimination in the Bakoye and Fal̩m̩ Foci, Mali",Clin Infect Dis,72:09:00,1585-1593,Mali,OCP,OCP,River Faleme,2017-2018,"Children aged 3-10; 
In 3 historically hyperendemic villages, those aged 3-78 for all-age serosurveys",2270 children;1867 individuals aged 3-78 for the all-age serosurveys,,,34.80%,5.47mf/s,,,,Yes,Yes (OCP),,,1987,1977,29,,Yearly,,Increased from a minimum value of 59% initially to a maximum of 83% by 2000-06 during the treatment duration. ,,,,,-,Elimination of transmission,By measuring the seropeositivity of  children <10 years using Ov16 ELISA and infective L3 larvale in blackflies using PCR based pool screening,,,"Exact values not given; 
As per the figure, these are almost 0% for most of the villages. ",,,"Exact values not given; 
As per the figure, these are almost 0% by the end of the treatment duration. ",,,0.04% (95% CI = 0.01-0.25%),,Yes,,,,"Interruption of transmission reported in 2012 but LF MDA went on till 2016, IgG4 rapid diagnostic test used",Lymphatic Filariasis,"This study did testing 10 years after the first evidence of onchocerciasis elimination in this area,study reports elimination of transmission in this region",No-co-endemicity,,,,
46,Ananthu,Mutono,Surakat et al,Ongoing transmission,2018,"Seroprevalence of onchocerciasis in Ogun State, Nigeria after ten years of mass drug administration with ivermectin",South Afr J Infect Dis,33:03:00,65-71,Nigeria,APOC,,Ogun State,2015,Those aged5 years and above,3895,savannah and forest,Simulium damnosum s.l,-,-,-,22.70%,-,Yes,No,,-,2004,-,10,-,annual,-,-,65-85%,,-,85%,,,Ov16 seroprevalence in children ,-,REMO,17.3% (CI: 16.73-18.34%),Number infected/number examined,83/481,0.4mf/ss,Two skin snips from iliac crest using 2mm corneoscleral punch (Holth and Modified Walser),microscope,2.9% (21/719),blood drops,-,-,,,"For overall population, seroprevalence of Ov16 RDT was 9.3% (364/3895)",,,,,,,
47,Ananthu,Mutono,Mweya et al,Close to elimination,2007,Onchocerciasis situation in the Tukuyu focus of southwest Tanzania after ten years of ivermectin mass treatment,Tanzan Health Res Bull,09:03,174-179,Tanzania,APOC,,Tukuyu focus,2004,>15 years,438,-,Simulium damnosum ,49.50%,-,-,-,-,Yes,No,,-,1994,-,10,-,-,-,69%,-,,50%,-,,,-,6.9% (30/438),-,0,-,-,-,"two skin snips from iliac crests, using a razor blade",microscope,-,,-,-,,,"Chronic skin lesions in 11% of the respondents, severe itching in 21% of participants, onchodermatitis in 38.8% participants",,,,,,,
48,Ananthu,Mutono,Katabarwa et al,Close to elimination,2011,"Seventeen years of annual distribution of ivermectin has not interrupted onchocerciasis transmission in North Region, Cameroon",Am J Trop Med Hyg,85:06:00,1041-1049,Cameroon ,APOC,,Tchollire health district,2008-2010,-,-,-,Simulium damnosum s.l.,38.80%,-,267,-,15000,Yes,,,-,1993,-,12,-,annual,-,97-100%,85%,2003,,,,,,3.30%,8/250,0.80%,Number infected/number examined,2/250,,two skin snips from iliac crests with a sterile dermal hook and razor blade,microscope,-,,-,Dissecting microscope (40X magnification),0.50%,2613,"mf prevalence in children was 0%, nodular prevalence of children was 0%, iritis cases-5%, punctate keratitis-1.8%, sclerosing keratitis-0%, used microscope to dissect and count L3, infection rate is 1.2%",,"Annual Biting rate-13307, ATP- 30.4",,30.4,13307,,7
48,Ananthu,Mutono,Katabarwa et al,Ongoing transmission,2011,"Seventeen years of annual distribution of ivermectin has not interrupted onchocerciasis transmission in North Region, Cameroon",Am J Trop Med Hyg,85:06:00,1041-1049,Cameroon ,APOC,,Rey-Bouba health district,2008-2009,-,-,-,Simulium damnosum s.l.,57.70%,-,,-,,Yes,,,-,1993,-,12,-,annual,-,97-100%,85%,2003,,,,,,2.50%,3/119,2.50%,Number infected/number examined,3/119,,two skin snips from iliac crests with a sterile dermal hook and razor blade,microscope,-,,-,Dissecting microscope (40X magnification),,,"mf prevalence in children was 0%, nodular prevalence of children was 0%, iritis cases-13%, punctate keratitis-0%, sclerosing keratitis-10%",,,,,,,6
48,Ananthu,Mutono,Katabarwa et al,Ongoing transmission,2011,"Seventeen years of annual distribution of ivermectin has not interrupted onchocerciasis transmission in North Region, Cameroon",Am J Trop Med Hyg,85:06:00,1041-1049,Cameroon ,APOC,,Touboro health district,2008-2009,-,-,-,Simulium damnosum s.l.,,-,2757,-,26100,Yes,,,-,1993,-,17,-,annual,-,97-100%,85%,2003,,,,,,23.30%,123/646,7.70%,Number infected/number examined,32/406,,two skin snips from iliac crests with a sterile dermal hook and razor blade,microscope,-,,-,Dissecting microscope (40X magnification),1.40%,12107,"mf prevalence in children was 2.6%, nodular prevalence of children was 0%, iritis cases-5.9%, punctate keratitis-4.5%,sclerosing keratitis-6.6%, used microscope to dissect and count L3 in head, infection rate is 2.1%",,"Annual Biting rate-25109, ATP- 543.4",,543.4,25109,,6
49,Ananthu,Mutono,Sam-Wobo et al,Ongoing transmission,2012,"Epidemiological evaluation of onchocerciasis along Ogun river system, Southwest Nigeria",J Vector Borne Dis,49:02:00,101-104,Nigeria,APOC,,Ogun River System,2009,Aged >20,1068,savannah with patchy forest galleries,Simulium damnosum s.l,-,-,-,-,-,Yes,No,,-,1995,-,14-15,-,annual,-,-,-,,-,-,,,,-,-,27.70%,Number infected/number examined,296/1068,0.49 mf/ss,two skin snips from buttocks below iliac crest using cornosceleral punch,,-,,-,-,,,,,,,,,,
50,Ananthu,Mutono,Bakajika et al,Ongoing transmission,2018,On-going transmission of human onchocerciasis in the Massangam health district in the West Region of Cameroon: Better understanding transmission dynamics to inform changes in programmatic interventions,PLoS Negl Trop Dis,12:11,NA,Cameroon ,APOC,,Massangam health district,2015-2016,At 3 years old and lived in the community since birth or at least 5 years,2377,Forest & savannah ,Simulium squamosum sensu stricto ,59.60%,-,-,-,-,Yes,No,,No,1996,-,20,-,annual,-,100%,80%,,71.2% (95% CI: 61.7-79.2%),-,,Evidence of ongoing transmission,-,3.5% (84/2377),Nodule palpation,11.5% (78/680),Number infected/number examined,78/680,0.18,two skin snips on the iliac crests using a 2mm Holtz corneo-scleral punch,microscope,9.6% (145/1518),blood drops,No,Yes,0.80%,5967 (1789 parous flies),"1% of the parous flies were infected, fly collected using esperanza fly trap and human bait, Ov16 rapid kit used",,,,,,,
51,Ananthu,Mutono,Traore et al,Close to elimination,2009,The elimination of the onchocerciasis vector from the island of Bioko as a result of larviciding by the WHO African Programme for Onchocerciasis Control,Acta Trop,111:03:00,211-218,Eq. Guinea,OCP,,Bioko island,2007-2008,-,-,Forest ,Simulium yahense ,74.50%,28.3mf/ss,-,-,"10,000",Yes,Yes (OCP),Both,Yes,1990,2001,10,3,annual,-,-,53.20%,,-,-,-,Tranmsission halted by eliminating the vector,No biting vector for three years since March 2005,-,-,-,-,-,-,-,,-,,-,-,,,Last biting S.damnosum s.l was collected from Bioko in 2005,,,,,,,
52,Ananthu,Mutono,Katabarwa et al,Elimination of transmission,2020,Elimination of Simulium neavei-Transmitted Onchocerciasis in Wambabya-Rwamarongo Focus of Western Uganda,Am J Trop Med Hyg,103:03:00,1135-1142,Uganda,APOC,,Wambabya-Rwamarongo Focus,2014-2017,Children aged <10,3079,-,"Simulium neavei, Simulium ardesi",-,-,-,-,-,Yes,Yes (APOC),Ground larviciding,Yes,1989,2008,24,3,biannual,2007,-,91%,2008,-,-,-,Elimination of transmission with no possibility of recrudescence,"Ov16 seropositivity among children aged <10 years; 
Elimination of vector",-,-,-,-,-,-,-,,0.0% (95% CI: 0.0-0.16) (no. of positive/N = 0/3079),blood drops collected using Whatman filter paper,Yes,Yes,0%,1296,"MDA halted in 2013, No S.neavei collected since 2010, In 2017, oncho declared eliminated in the foci, During the PTS period, 3005 flies were caught, all being simulium ardesi a nonvector species of simulium, the last larval stage of S. neavei on a crab was observed in 2010, 0% crab infestation",,Simulium neavei exists in a phoretic association with freshwater crabs (Potamonautes niloticus),Yes-PES,,,10,9
53,Ananthu,Mutono,Osue et al,Close to elimination,2013,Impact of eighteen-year varied compliance to Onchocerciasis treatment with Ivermectin in sentinel Savannah agrarian communities in Kaduna state of Nigeria,ISRN Parasitology ,2013,960168,Nigeria,APOC,,Kachia Local Government Area,2011,Aged 5-90,593,Savannah ,Simulium damnosum ,37.90%,1.5 mf/ss,-,14.50%,-,Yes,,,-,1994,-,18,-,annual,,,92.6,,,11%,,Active Oncho transmission halted,-,0.7% (4/592),-,0.00%,Number infected/number examined,0/592,-,Two skin snips obtained using Holth corneoscleral biopsy punch with 1-2 mm bite. ,microscope,-,,-,Wilde dissecting microscope at X4 magnification ,0%,222,"Parous flies dissected using a microscope, blood samples collected from subpopulation (250) and examined under microscope for mf, Pruritis-3.7%, cataracts-28.5%, pterygium-26.5%, glaucoma-1.4%, acute senilis-27.9%, optic nerve disease-0.7%, combined mass treatment with ivermectin and Albendazole started in 2005",Lymphatic filariasis,Additional: Migration rates between 5.3% and 14.1% for those aged <10 reported. ,,,,,
54,Ananthu,Mutono,Forrer et al,Ongoing transmission,2021,Why onchocerciasis transmission persists after 15 annual ivermectin mass drug administrations in South-West Cameroon,BMJ Global Health,6,e003248,Cameroon ,APOC,,Meme River Basin,2017,Those aged 5 or above (and lived in the location for at least 5 years),9456,Forest,,,5-80 mf/ss,-,-,-,Yes,,,-,-,-,15 or more,-,annual,,,52.80%,,5.9% of adults had participanted in at least 75% of rounds,17.50%,,Disease still prevalent,-,17.10%,-,44.40%,-,-,2.06 mf/ss,Two skin snips from iliac crest using a 2mm corneo-scleral punch,microscope,-,,-,-,,,"Prevalence of loa loa was 3.7% with a mean loa loa infection intensity of 49.5 mf/mL, onchocercal skin disease-10.3%, severe itching-5.9%,visual impairment-2.3%, acceptability, timing and seasonality of distribution of drug, death (maybe due to loa loa) were factors associated with non-adherence",,"Additional: Area co-endemic for loa-loa, resulting in many people not adhering to treatment due to feat of adverse effects. ",,,,,
55,Ananthu,Mutono,"Okon, O. E. and Ilugbiyin, E. F.",Ongoing transmission,2008,Evaluation of Mectizan Efficacy in the Treatment of Onchocerciasis using Microfilarial load in a community in South-Eastern Nigeria,International Journal of Biomedical and Health Sciences,4(2),65-67,Nigeria,APOC,National Onchocerciasis Control Programmes (NOCP),Aninegeye community,2006,Aged >5,200,-,-,11.88% (19/160),-,-,-,-,Yes,,,-,1995,-,11,-,annual,-,-,-,,-,-,,"Prevalence reduced 
(Not enough to declare elimination)",-,-,-,1.50%,No. of infected/No. of infected examined,3/200,-,two skin snips from iliac crests using corneoseleral punch,microscope,-,,-,-,,,,,,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Logon Occidental,2014,Aged 5 or above,5680,-,Simulium damnosum s.l,-,-,-,37.9 (maxm.),-,Yes,,,-,1998,-,16,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/5680,0,2 mm Holth corneoscleral punch to obtain skin biopsies,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Logon Oriental,2014,Aged 5 or above,14027,-,Simulium damnosum s.l,-,-,-,62.8 (maxm.),-,Yes,,,-,1998,-,16,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.34%,No. of infected/No. of infected examined,38/14027,0,2 mm Holth corneoscleral punch to obtain skin biopsies,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Mandoul,2013,Aged 5 or above,12812,-,Simulium damnosum s.l,-,-,-,66.1 (maxm.),-,Yes,,,-,1998,-,15,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.22%,No. of infected/No. of infected examined,28/12812,,2 mm Holth corneoscleral punch to obtain skin biopsies,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Mayo Kebbi East,2014,Aged 5 or above,9308,-,Simulium damnosum s.l,-,-,-,45.2 (maxm.),-,Yes,,,-,1998,-,16,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/9308,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Mayo Kebbi West,2014,Aged 5 or above,13085,-,Simulium damnosum s.l,-,-,-,44.4 (maxm.),-,Yes,,,-,1998,-,16,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,1/13085,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Moyen Chari,2012,Aged 5 or above,7073,-,Simulium damnosum s.l,-,-,-,40.1 (maxm.),-,Yes,,,-,1998,-,14,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/7073,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Chad,APOC,,Tandjile,2013,Aged 5 or above,8414,-,Simulium damnosum s.l,-,-,-,38.7 (maxm.),-,Yes,,,-,1998,-,15,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.04%,No. of infected/No. of infected examined,Mar-14,,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Ethiopia,APOC,,North Gondar,2013,Aged 5 or above,4913,-,Simulium damnosum s.l,-,-,-,47.4 (maxm.),-,Yes,,,-,2003,-,10,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/4913,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Malawi,APOC,,Malawi Extension,2012,Aged 5 or above,4180,-,Simulium damnosum s.l,-,-,-,21.6 (maxm.),-,Yes,,,-,2000,-,12,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,1.31%,No. of infected/No. of infected examined,29/4180,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Malawi,APOC,,Thyolo Muanza,2012,Aged 5 or above,4480,-,Simulium damnosum s.l,-,-,-,34.1 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.62%,No. of infected/No. of infected examined,13/4480,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Cross River,2012,Aged 5 or above,7415,-,Simulium damnosum s.l,-,-,-,56.1 (maxm.),-,Yes,,,-,1998,-,14,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,7.18%,No. of infected/No. of infected examined,356/7415,0.5,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Ebonyi,2012,Aged 5 or above,3441,-,Simulium damnosum s.l,-,-,-,60.2 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,3%,No. of infected/No. of infected examined,45/3441,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Enugu Anambra ,2012,Aged 5 or above,4991,-,Simulium damnosum s.l,-,-,-,63.0 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,1.89%,No. of infected/No. of infected examined,135/4991,0.2,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Kaduna ,2012,Aged 5 or above,8588,-,Simulium damnosum s.l,-,-,-,55.8 (maxm.),-,Yes,,,-,1991,-,21,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/8588,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Tanzania,APOC,,Tanga,2012,Aged 5 or above,5643,-,Simulium damnosum s.l,-,-,-,35.4 (maxm.),-,Yes,,,-,2000,-,12,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.03%,No. of infected/No. of infected examined,Jul-43,0.1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Tanzania,APOC,,Tukuyu,2012,Aged 5 or above,5007,-,Simulium damnosum s.l,-,-,-,39.7 (maxm.),-,Yes,,,-,2001,-,11,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/5007,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
